# id:22--44-22 
-0.38,-0.26,-1
-0.72,-0.23,-1
0.62,0.16,-1
-0.11,0.94,1
-0.35,-0.35,-1
0.07,-0.3,-1
-0.5,0.02,-1
0.6,0.25,-1
-0.77,-0.2,-1
0.88,0.28,-1
-0.16,-0.68,-1
0.52,0.55,1
-0.02,0.27,1
-0.38,0.15,-1
-0.13,-0.27,-1
-0.83,-0.6,-1
-0.88,0.38,-1
-0.44,-0.24,-1
-0.97,0,-1
0.92,-0.7,-1
-0.83,0.27,-1
-0.45,0.29,-1
-0.97,-0.53,-1
0.52,-0.18,-1
-0.06,-0.26,-1
0.29,0.85,1
0.61,-0.67,-1
-0.23,0.61,1
-0.03,-0.5,-1
0.52,0.17,-1
0.58,-0.49,-1
0.36,0.57,1
-0.86,0.01,-1
-0.96,-0.85,-1
-0.84,-0.7,-1
0.99,0.23,-1
0.72,-0.7,-1
-0.77,0.31,-1
0.3,-0.41,-1
0.86,0.77,-1
0.68,0.53,-1
-0.26,-0.23,-1
1,-0.24,-1
0.34,-0.25,-1
-0.85,0.12,-1
-0.85,-0.6,-1
-0.13,-0.74,-1
0.32,-0.61,-1
-0.79,0.55,-1
-0.69,0.12,-1
1,0.61,-1
0.97,0.81,-1
-0.43,-0.44,-1
-0.26,-0.96,-1
-0.67,-0.67,-1
-0.19,0.76,1
-0.43,-0.42,-1
-0.62,-0.44,-1
-0.57,0.29,-1
-0.25,-0.99,-1
-0.97,0.68,-1
-0.2,-0.87,-1
-0.4,0.4,1
-0.73,0.01,-1
-0.99,0.26,-1
0.95,-0.43,-1
-0.73,0.2,-1
0,0.11,1
0.45,-0.97,-1
-0.35,-0.1,-1
-0.98,0.02,-1
0.23,0.1,-1
0.5,-0.66,-1
0.89,-0.05,-1
0.32,0.22,-1
0.01,0.6,1
-0.21,-0.89,-1
-0.68,0.83,-1
-0.06,0.17,1
0.45,0.81,1
0.4,-0.28,-1
0.65,-0.92,-1
-0.54,-0.82,-1
0.27,-0.03,-1
0.35,0.64,1
-0.57,-0.1,-1
0.65,-0.73,-1
-0.05,-0.46,-1
-0.03,0.06,1
0.26,0.84,1
-0.71,0,-1
-0.7,-0.63,-1
0.89,0.01,-1
-0.03,-0.22,-1
-0.03,0.42,1
0.14,0.74,1
0.22,0.83,1
0.73,0.03,-1
0.66,-0.54,-1
0.4,0.8,1
0.86,0.28,-1
0.31,-0.28,-1
-0.85,0.27,-1
-0.45,0.72,1
-0.23,0.2,1
-0.64,-0.86,-1
-0.47,-0.37,-1
-0.32,-0.51,-1
-0.99,-0.15,-1
-0.38,0.26,-1
-0.93,0.27,-1
-0.05,0.67,1
0.74,-0.88,-1
0.64,0.03,-1
-0.76,0.76,-1
-0.31,-0.68,-1
0.17,-0.09,-1
0.72,0.06,-1
0.64,0.39,-1
-0.35,0.99,1
0.53,-0.63,-1
-0.55,-0.13,-1
-0.08,-0.86,-1
0.05,0.55,1
0.26,-0.35,-1
0.32,-0.18,-1
0.32,0.2,-1
1,0.28,-1
0.4,0.2,-1
-0.53,-0.41,-1
-0.35,0.83,1
0.71,0.4,-1
0.89,-0.13,-1
0.28,-0.88,-1
0.96,0.7,-1
-0.2,0.82,1
0.93,-0.98,-1
0.89,0.61,-1
-0.39,0.67,1
0.48,0.77,1
-0.62,0.13,-1
-0.49,-0.95,-1
0.02,-0.78,-1
-0.68,-0.51,-1
-0.12,0.88,1
-0.14,0.88,1
0.93,-0.95,-1
-0.57,-0.57,-1
-0.27,-0.2,-1
